run,case,mode,frames,global_chroma_jump,global_chroma_acceleration,raw_local_chroma_change,warped_chroma_change,flow_pixels_at_192
oracle60_100,demo20/P07/t2v/seed42_full.json,t2v,121,0.0010558568174019456,0.0008728037937544286,0.00280126636789646,0.0022414874988802088,0.2497885086699777
stable_final,demo20/P07/t2v/seed42_full.json,t2v,121,0.0014935822691768408,0.0007133068866096437,0.003532211314692783,0.002075639633161093,0.5369934820802882
stable100,demo20/P08/i2v/seed42_full.json,i2v,121,0.00018535973504185677,0.0002929183538071811,0.0010714640777829724,0.001161955896532163,0.10195922004058958
oracle60_100,demo20/P08/i2v/seed42_full.json,i2v,121,0.00022907023958396167,0.00036433717468753457,0.0009201961862951672,0.0010604500998548853,0.058018974602843325
stable_final,demo20/P08/i2v/seed42_full.json,i2v,121,0.00020812156435567886,0.0003568989341147244,0.0008576366558069519,0.0009988369648150789,0.054767890259002645
stable100,demo20/P08/t2v/seed42_full.json,t2v,121,0.00011685484059853479,0.00017664165352471173,0.001124617233290337,0.0011287413954657191,0.06728376743073265
oracle60_100,demo20/P08/t2v/seed42_full.json,t2v,121,0.00048583242460153997,0.0005852869944646955,0.0023324520356254653,0.0023326894578834375,0.202757512871176
stable_final,demo20/P08/t2v/seed42_full.json,t2v,121,0.0002913678763434291,0.00036501933936960995,0.0020167264291861406,0.002079320746512773,0.30568739121469357
stable100,demo20/P09/i2v/seed42_full.json,i2v,121,0.00030962159507907927,0.00039678291068412364,0.0019144859281368554,0.0017049293232654843,0.12051957858105501
oracle60_100,demo20/P09/i2v/seed42_full.json,i2v,121,0.003107857657596469,0.0036372507456690073,0.004711727617541328,0.004330581739001597,0.13576066360498468
stable_final,demo20/P09/i2v/seed42_full.json,i2v,121,0.0002182072348659858,0.0003027836501132697,0.0008099495685504128,0.0008445407932110053,0.07815450092311949
stable100,demo20/P09/t2v/seed42_full.json,t2v,121,0.01457420364022255,0.017063267529010773,0.023412409981635088,0.019068636446415137,0.6590396469226107
oracle60_100,demo20/P09/t2v/seed42_full.json,t2v,121,0.004788159392774105,0.006775396876037121,0.011636846089580407,0.010505933884996922,0.6148072961717844
stable_final,demo20/P09/t2v/seed42_full.json,t2v,121,0.0035569199826568365,0.0037201044615358114,0.012746769810716312,0.009932419812927643,1.095542356868585
stable100,demo20/P10/i2v/seed42_full.json,i2v,121,0.0002091934293275699,0.0002612803364172578,0.0014608858199305055,0.001424296224771145,0.1824030125979334
oracle60_100,demo20/P10/i2v/seed42_full.json,i2v,121,0.00031176378251984715,0.00031874491833150387,0.0014891580533003435,0.0014368800298446634,0.21458638259985793
stable_final,demo20/P10/i2v/seed42_full.json,i2v,121,0.00023639191931579262,0.0003973830898758024,0.0008771566554059973,0.0008890742262641046,0.18916342235946407
stable100,demo20/P10/t2v/seed42_full.json,t2v,121,0.002207478741183877,0.001158805680461228,0.0034309259955383215,0.0034159673824130246,0.016991776630554036
oracle60_100,demo20/P10/t2v/seed42_full.json,t2v,121,0.019222470000386238,0.026237115263938904,0.02674542128709921,0.023845675910706632,0.4885440758613792
stable_final,demo20/P10/t2v/seed42_full.json,t2v,121,0.0007856309530325234,0.0007072940934449434,0.0044041593394164615,0.0035985128556300576,0.4111037640366703
stable100,demo20/P11/i2v/seed42_full.json,i2v,121,0.00014144145825412124,0.0002448823070153594,0.0007499119681597221,0.000793261550279567,0.13301274010445924
oracle60_100,demo20/P11/i2v/seed42_full.json,i2v,121,0.00019178267393726856,0.0002839173539541662,0.001000264043492886,0.0009768015702623718,0.14589490611106157
stable_final,demo20/P11/i2v/seed42_full.json,i2v,121,0.0001580988900968805,0.0002664679486770183,0.0010114270298799966,0.0009935293254481317,0.17360246488824488
stable100,demo20/P11/t2v/seed42_full.json,t2v,121,0.0001165077046607621,0.00017715166904963553,0.0007578116441436577,0.0007928570769460445,0.23075663358904422
oracle60_100,demo20/P11/t2v/seed42_full.json,t2v,121,0.00012083761976100504,0.0001866370439529419,0.0005621046971403605,0.0005963129093288444,0.08168443922574321
stable_final,demo20/P11/t2v/seed42_full.json,t2v,121,9.605584637029096e-05,0.00016268895706161857,0.0006207239503661792,0.0005370674827039086,0.13847948896388212
stable100,demo20/P12/i2v/seed42_full.json,i2v,121,0.00030217095627449453,0.00043497185106389225,0.001987500550361195,0.0018654780486637415,0.09921490248913566
oracle60_100,demo20/P12/i2v/seed42_full.json,i2v,121,0.0005407756543718278,0.0008959454717114568,0.002737539555285669,0.002379457090864889,0.14098400921405604
stable_final,demo20/P12/i2v/seed42_full.json,i2v,121,0.0002854947524610907,0.0003304801357444376,0.001714645905061237,0.0015937601448968053,0.12980702049875012
stable100,demo20/P12/t2v/seed42_full.json,t2v,121,0.0005414375336840749,0.0007686095195822418,0.0029099568385087577,0.0023343337864692635,0.35379150821827354
oracle60_100,demo20/P12/t2v/seed42_full.json,t2v,121,0.0005917666130699217,0.0006133281858637929,0.004953967543163647,0.0037059897168849904,0.7442938064535459
stable_final,demo20/P12/t2v/seed42_full.json,t2v,121,0.00040728412568569183,0.0006283950060606003,0.003385588675155304,0.002903200326060566,0.5052537457396586
stable100,demo20/P13/i2v/seed42_full.json,i2v,121,0.00012548880476970226,0.00022405410709325224,0.0004897338396403939,0.0005552114518650342,0.0857937818703552
oracle60_100,demo20/P13/i2v/seed42_full.json,i2v,121,0.00021146380458958447,0.00026986905140802264,0.0007254123467040093,0.0007772735210892278,0.0874114817318817
stable_final,demo20/P13/i2v/seed42_full.json,i2v,121,0.00014027554425410926,0.0002406780986348167,0.0006100448714278173,0.0006641375386000921,0.08370443281407157
stable100,demo20/P13/t2v/seed42_full.json,t2v,121,0.0002147246414097026,0.00030241586500778794,0.00265953082513685,0.0026160470471950246,0.4145533773737649
oracle60_100,demo20/P13/t2v/seed42_full.json,t2v,121,0.0019388680811971426,0.0022582397796213627,0.013112399422486003,0.010507960128597916,0.5236484031503399
stable_final,demo20/P13/t2v/seed42_full.json,t2v,121,0.0010398956947028637,0.0011330696288496256,0.007125261969243487,0.005039994705778857,0.6059293074533343
stable100,demo20/P14/i2v/seed42_full.json,i2v,121,0.00041081674862653017,0.0005419878871180117,0.002556082349231777,0.002138558747052836,0.12611223021522164
oracle60_100,demo20/P14/i2v/seed42_full.json,i2v,121,0.004280976019799709,0.006005892064422369,0.006697763248181824,0.0037949546162659924,0.31641830703786883
stable_final,demo20/P14/i2v/seed42_full.json,i2v,121,0.0002609357179608196,0.00037567803519777954,0.0029299849654004597,0.00183283782437987,0.18379650522644322
stable100,demo20/P14/t2v/seed42_full.json,t2v,121,0.0014123094733804464,0.000902617524843663,0.007321941392729059,0.004594706720672548,0.4182673077409466
oracle60_100,demo20/P14/t2v/seed42_full.json,t2v,121,0.001180590596050024,0.0010989757720381021,0.008317109112977051,0.005922564593493007,0.32180641843006014
stable_final,demo20/P14/t2v/seed42_full.json,t2v,121,0.0007142832619138062,0.0008284504874609411,0.006711313927856584,0.0045422964865186564,0.3400871981866658
stable100,demo20/P15/i2v/seed42_full.json,i2v,121,0.00045537669211626053,0.0007881701458245516,0.0030258775911837193,0.002692918087511013,0.3352178590993086
oracle60_100,demo20/P15/i2v/seed42_full.json,i2v,121,0.0003489627852104604,0.0005468328017741442,0.0017137211849330924,0.0016339490379323252,0.16502853613346816
stable_final,demo20/P15/i2v/seed42_full.json,i2v,121,0.00034249472082592547,0.0004494036256801337,0.0018006655681044018,0.0015303852468302162,0.2387460727787887
stable100,demo20/P15/t2v/seed42_full.json,t2v,121,0.0008234799024648964,0.0009744655690155923,0.004957398149902777,0.0044114567223005,0.2699684302012126
oracle60_100,demo20/P15/t2v/seed42_full.json,t2v,121,0.0017198793357238173,0.001711615244857967,0.004921921786929791,0.00439641919413892,0.3762618371595939
stable_final,demo20/P15/t2v/seed42_full.json,t2v,121,0.0003683172690216452,0.0005265410873107612,0.002294729395362083,0.0019774035152901586,0.3521182732656598
stable100,demo20/P16/i2v/seed42_full.json,i2v,121,0.000495570304337889,0.000480909482575953,0.005501651604815075,0.004106388375900375,0.5657330110669136
oracle60_100,demo20/P16/i2v/seed42_full.json,i2v,121,0.0005248572560958564,0.0006207936676219106,0.004973571845524324,0.003600734201609157,0.7678288417557876
stable_final,demo20/P16/i2v/seed42_full.json,i2v,121,0.0005469540483318269,0.0005322335055097938,0.005441274028271437,0.0044617716785675535,0.432720913986365
stable100,demo20/P16/t2v/seed42_full.json,t2v,121,0.0007566670537926257,0.0007124998373910785,0.0071840131631082235,0.00461874475198177,0.24857341291832805
oracle60_100,demo20/P16/t2v/seed42_full.json,t2v,121,0.000613133714068681,0.0005478969542309642,0.002960368225952455,0.0015933186155355846,0.5570177707149317
stable_final,demo20/P16/t2v/seed42_full.json,t2v,121,0.0006386685417965055,0.0006968874949961901,0.0023649402081597753,0.002136634416577484,0.03452755156273876
stable100,demo20/P17/i2v/seed42_full.json,i2v,121,0.001861695316620171,0.0009475434198975563,0.007313856826901125,0.004238682378975985,0.6087703634053468
oracle60_100,demo20/P17/i2v/seed42_full.json,i2v,121,0.012116161175072193,0.016511501744389534,0.01810848685078478,0.014126844022151393,0.9593535026923443
